"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","HEST","NEP","ING","CAR","PROB_A","HW","SEC","CONS","REC","I_HOGAR"
"43311",7994155,1,1,1,"3","9","2","2",0.72130585,"40 <","1","2","2",640000
"43312",7994156,1,1,1,"1","9","1","2",0.11470257,"40 <","1","2","2",1200000
"43313",7994157,1,1,1,"4","2","1","2",0.92963,"> 50","1","2","2",610000
"43314",7994158,1,1,1,"5","2","2","1",0.72130585,"> 50","1","2","1",3200000
"43315",7994159,1,1,1,"4","1","1","2",0.02890046,"[40, 50)","1","2","2",1956666.6667
"43316",7994160,1,1,1,"3","1","1","2",0.72130585,"40 <","1","2","2",891666.66667
"43317",7994161,1,1,1,"7","2","1","2",0.35529742,"40 <","1","2","2",1630000
"43318",7994162,1,1,1,"4","1","2","2",0.02890046,"40 <","1","2","2",620000
"43319",7994163,1,1,1,"3","1","1","2",0.92963,"> 50","2","2","1",2518333.3333
"43320",7994164,1,1,1,"11","9","2","2",0.11470257,"[40, 50)","1","2","2",3378333.3333
"43321",7994165,1,1,1,"5","1","1","2",0.11470257,"[40, 50)","1","2","2",1402500
"43322",7994166,1,1,1,"4","2","1","2",0.72130585,"> 50","1","2","2",1220000
"43323",7994168,1,1,1,"3","9","2","2",0,"> 50","1","2","2",483333.33333
"43324",7994169,1,1,1,"1","9","1","2",0.11470257,"[40, 50)","1","2","2",436666.66667
"43325",7994171,1,1,1,"5","9","2","2",0.02890046,"[40, 50)","2","2","2",1300000
"43326",7994172,1,1,1,"3","1","1","2",0.35529742,"40 <","1","2","2",1241666.6667
"43327",7994173,1,1,1,"11","4","2","2",0.92963,"40 <","1","1","2",3050000
"43328",7994176,1,1,1,"11","2","2","2",0,"[40, 50)","1","1","1",9941666.6667
"43329",7994177,1,1,1,"1","10","1","2",0.92963,"[40, 50)","1","2","2",1e+06
"43330",7994178,1,1,1,"5","10","1","1",0,"[40, 50)","1","2","2",4316666.6667
"43331",7994179,1,1,1,"5","1","1","2",0,"40 <","2","2","2",412500
"43332",7994180,1,1,1,"4","1","2","2",0,"[40, 50)","1","2","2",350000
"43333",7994181,1,1,1,"11","1","1","2",0.35529742,"40 <","2","2","1",3500000
"43334",7994182,1,1,1,"3","9","2","2",0.02890046,"[40, 50)","1","2","2",2400000
"43335",7994183,1,1,1,"4","1","2","2",0,"> 50","1","2","2",1490000
"43336",7994185,1,1,1,"3","1","1","2",0.02890046,"[40, 50)","1","2","2",995000
"43337",7994186,1,1,1,"3","9","2","2",0,"[40, 50)","1","2","2",225000
"43338",7994187,1,1,1,"5","2","1","2",0.99007729,"[40, 50)","1","2","2",1830333.3333
"43339",7994188,1,1,1,"3","9","1","2",0.11470257,"40 <","1","2","2",1590000
"43340",7994189,1,1,1,"5","1","2","2",0,"[40, 50)","1","2","2",3361666.6667
"43341",7994190,1,1,1,"4","1","1","2",0.11470257,"> 50","1","2","1",1311666.6667
"43342",7994191,1,1,1,"3","10","1","2",0.11470257,"40 <","1","2","2",518666.66667
"43343",7994192,1,1,1,"3","9","1","2",0.11470257,"40 <","1","2","2",5e+05
"43344",7994194,1,1,1,"3","1","2","2",0,"[40, 50)","1","2","2",1e+06
"43345",7994196,1,1,1,"3","1","1","2",0,"40 <","1","2","1",388000
"43346",7994197,1,1,1,"3","9","1","2",0,"40 <","1","2","2",1635000
"43347",7994198,1,1,1,"3","10","1","2",0.99793798,"> 50","1","2","2",1900000
"43348",7994199,1,1,1,"1","9","1","2",0.99883635,"[40, 50)","1","2","2",365000
"43349",7994200,1,1,1,"3","1","1","2",0,"[40, 50)","1","2","2",1456666.6667
"43350",7994202,1,1,1,"3","1","1","2",0.11470257,"[40, 50)","2","2","2",633333.33333
"43351",7994204,1,1,1,"3","1","1","2",0,"> 50","1","2","2",2066666.6667
"43352",7994205,1,1,1,"5","1","1","2",0.92963,"40 <","1","2","2",180000
"43353",7994206,1,1,1,"5","1","2","2",0,"> 50","1","2","2",2916666.6667
"43354",7994207,1,1,1,"4","1","1","2",0.99883635,"40 <","1","2","2",1004166.6667
"43355",7994208,1,1,1,"1","9","1","2",0.99007729,"[40, 50)","1","2","2",245833.33333
"43357",7994210,1,1,1,"3","9","1","2",0.35529742,"[40, 50)","1","2","2",2636666.6667
"43358",7994211,1,1,1,"3","1","2","1",0,"[40, 50)","1","2","2",1100000
"43359",7994212,1,1,1,"4","9","2","2",0.11470257,"[40, 50)","1","2","2",5e+05
"43360",7994213,1,1,1,"1","9","1","2",0.35529742,"40 <","1","2","2",1383333.3333
"43361",7994214,1,1,1,"1","9","1","2",0.92963,"> 50","1","2","2",925000
"43362",7994215,1,1,1,"3","2","1","2",0.72130585,"> 50","1","2","2",2300000
"43363",7994216,1,1,1,"9","1","2","2",0.72130585,"[40, 50)","1","2","2",510000
"43364",7994218,1,1,1,"13","4","2","2",0,"> 50","1","2","2",8066666.6667
"43365",7994219,1,1,1,"3","10","2","2",0,"40 <","2","2","2",1305000
"43366",7994220,1,1,1,"3","9","1","2",0.99007729,"40 <","2","2","2",550500
"43367",7994221,1,1,1,"5","1","1","2",0.99883635,"[40, 50)","1","2","2",1100000
"43369",7994223,1,1,1,"4","1","1","2",0.99883635,"> 50","1","2","2",2e+05
"43370",7994224,1,1,1,"7","1","2","2",0,"[40, 50)","1","2","2",2603333.3333
"43371",7994225,1,1,1,"5","3","1","2",0.92963,"40 <","1","2","2",1160000
"43372",7994228,1,1,1,"3","1","1","2",0.35529742,"[40, 50)","1","2","2",2440000
"43373",7994229,1,1,1,"4","1","1","2",0,"> 50","1","2","2",1252500
"43374",7994230,1,1,1,"5","10","1","2",0.11470257,"40 <","1","2","2",650000
"43375",7994233,1,1,1,"13","2","2","1",0,"[40, 50)","1","2","2",1500000
"43377",7994236,1,1,1,"7","1","1","2",0,"[40, 50)","1","2","2",2856666.6667
"43378",7994237,1,1,1,"3","1","1","2",0,"40 <","2","2","2",130000
"43379",7994238,1,1,1,"5","2","1","2",0.92963,"40 <","1","2","2",2e+05
"43380",7994239,1,1,1,"4","1","1","2",0,"[40, 50)","1","2","2",2225000
"43382",7994241,1,1,1,"4","9","2","2",0.99793798,"40 <","1","2","2",4e+05
"43383",7994242,1,1,1,"4","1","1","2",0.35529742,"[40, 50)","2","2","2",1380000
"43384",7994243,1,1,1,"5","10","2","2",0.99007729,"[40, 50)","1","2","2",357500
"43385",7994245,1,1,1,"3","1","2","2",0.35529742,"> 50","1","2","2",1366666.6667
"43386",7994246,1,1,1,"5","2","2","2",0.35529742,"[40, 50)","1","2","2",1435333.3333
"43387",7994247,1,1,1,"3","10","1","2",0.99007729,"[40, 50)","1","2","2",414000
"43388",7994248,1,1,1,"9","4","1","2",0,"40 <","1","2","2",349000
"43389",7994249,1,1,1,"5","4","2","2",0,"[40, 50)","1","2","2",2200000
"43390",7994251,1,1,1,"3","10","1","2",0.72130585,"40 <","1","2","2",1439166.6667
"43391",7994253,1,1,1,"3","9","1","2",0.99007729,"[40, 50)","1","2","2",3663333.3333
"43392",7994254,1,1,1,"3","1","2","2",0.35529742,"40 <","1","2","2",502250
"43393",7994255,1,1,1,"5","1","2","2",0,"> 50","1","2","2",2118916.6667
"43394",7994256,1,1,1,"3","1","2","2",0,"40 <","1","2","2",850000
"43395",7994257,1,1,1,"5","3","1","2",0.99793798,"40 <","1","2","2",177916.66667
"43396",7994258,1,1,1,"3","1","2","2",0.35529742,"[40, 50)","2","2","2",233333.33333
"43397",7994260,1,1,1,"3","1","2","2",0.35529742,"40 <","1","2","2",1272000
"43398",7994261,1,1,1,"3","1","1","2",0.35529742,"40 <","2","2","2",1433333.3333
"43399",7994262,1,1,1,"1","1","1","2",0.72130585,"[40, 50)","1","2","2",1058333.3333
"43400",7994263,1,1,1,"3","9","1","2",0,"40 <","2","2","2",384000
"43401",7994264,1,1,1,"11","9","2","1",0,"[40, 50)","1","2","2",4735333.3333
"43402",7994265,1,1,1,"1","9","2","2",0.99007729,"[40, 50)","1","2","2",1543333.3333
"43403",7994266,1,1,1,"3","10","1","2",0,"[40, 50)","1","2","2",3209438
"43404",7994267,1,1,1,"5","9","2","2",0.02890046,"> 50","1","2","2",1570000
"43405",7994268,1,1,1,"3","2","2","2",0,"[40, 50)","2","2","2",2300000
"43406",7994269,1,1,1,"5","9","2","2",0,"> 50","1","2","2",4020000
"43407",7994271,1,1,1,"5","8","1","2",0.99793798,"40 <","2","2","2",1050000
"43408",7994272,1,1,1,"4","2","1","2",0.92963,"40 <","2","2","2",1977000
"43409",7994274,1,1,1,"7","3","2","2",0,"[40, 50)","1","2","2",2350000
